Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"BT1","3V CR2032","CR2032 Holder",158.000000,-92.000000,135.000000,top
"C1","100n","C_0402_1005Metric",135.136964,-112.954345,90.000000,top
"C2","1u","C_0603_1608Metric",133.736881,-112.954345,90.000000,top
"D1","Yellow","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.500000,-82.500000,135.000000,top
"D2","Yellow","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.500000,-99.500000,135.000000,top
"J1","VCC","PinHeader_1x01_P2.54mm_Vertical",137.828002,-104.919087,0.000000,top
"J2","UPDI","PinHeader_1x01_P2.54mm_Vertical",131.878631,-107.925302,0.000000,top
"J3","GND","PinHeader_1x01_P2.54mm_Vertical",129.584473,-114.362639,0.000000,top
"R1","10k","R_0603_1608Metric",182.593513,-73.949937,45.000000,top
"R2","10","R_0402_1005Metric",166.771725,-78.044243,45.000000,top
"R3","10","R_0402_1005Metric",167.639168,-78.911685,-135.000000,top
"R4","10","R_0402_1005Metric",168.449730,-79.777339,45.000000,top
"R5","10","R_0402_1005Metric",169.237089,-80.600916,-135.000000,top
"R6","10","R_0402_1005Metric",143.589771,-99.691226,-135.000000,top
"R7","10","R_0402_1005Metric",144.693637,-100.777715,45.000000,top
"R8","10","R_0402_1005Metric",145.608731,-101.802162,-135.000000,top
"R9","10","R_0402_1005Metric",146.681594,-102.783562,45.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",179.116340,-70.499999,45.000000,top
"U1","ATtiny1616-M","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",137.984781,-112.847817,-90.000000,top
