Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"BT1","3V CR2032","CR2032 Holder",148.461212,-98.564033,135.000000,top
"C1","100n","C_0402_1005Metric",125.598176,-119.518378,90.000000,top
"C2","1u","C_0603_1608Metric",124.198093,-119.518378,90.000000,top
"D1","Yellow","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.961212,-89.064033,135.000000,top
"D2","Yellow","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.961212,-106.064033,135.000000,top
"J1","VCC","PinHeader_1x01_P2.54mm_Vertical",128.289214,-111.483120,45.000000,top
"J2","UPDI","PinHeader_1x01_P2.54mm_Vertical",122.339843,-114.489335,45.000000,top
"J3","GND","PinHeader_1x01_P2.54mm_Vertical",120.000000,-120.926672,45.000000,top
"R1","10k","R_0603_1608Metric",173.054725,-80.513970,45.000000,top
"R2","10","R_0402_1005Metric",157.232937,-84.608276,    45.000000,top
"R3","10","R_0402_1005Metric",158.100380,-85.475718,-135.000000,top
"R4","10","R_0402_1005Metric",158.910942,-86.341372,45.000000,top
"R5","10","R_0402_1005Metric",159.698301,-87.164949,-135.000000,top
"R6","10","R_0402_1005Metric",134.050983,-106.255259,-135.000000,top
"R7","10","R_0402_1005Metric",135.154849,-107.341748,45.000000,top
"R8","10","R_0402_1005Metric",136.069943,-108.366195,-135.000000,top
"R9","10","R_0402_1005Metric",137.142806,-109.347595,45.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ",169.577552,-77.064032,45.000000,top
"U1","ATtiny1616-M","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",128.445993,-119.411850,-90.000000,top
